acclr(x),acclr(y),acclr(z),gyro(x),gyro(y),gyro(z)
0.74,-0.09,7.69,-0.06,0,-0.04
0.65,-0.14,8.45,-0.09,-0.06,-0.04
0.29,-0.06,10.02,-0.09,-0.08,-0.04
0.14,-0.07,11.03,-0.05,-0.02,-0.04
0.3,-0.03,10.66,-0.02,0.04,-0.04
0.48,-0.07,9.55,-0.01,0.07,-0.04
0.71,-0.03,7.8,-0.04,0.03,-0.04
0.73,-0.1,7.94,-0.08,-0.03,-0.04
0.5,-0.15,9.22,-0.1,-0.08,-0.05
0.24,-0.06,10.52,-0.07,-0.06,-0.04
0.22,-0.03,11.15,-0.03,0.01,-0.04
0.36,0.01,10.18,-0.01,0.06,-0.04
0.63,-0.08,8.68,-0.02,0.06,-0.04
0.74,-0.08,7.68,-0.06,0.01,-0.04
0.63,-0.11,8.48,-0.09,-0.06,-0.04
0.33,-0.11,9.92,-0.09,-0.09,-0.04
0.17,-0.07,11.03,-0.05,-0.02,-0.04
0.28,-0.03,10.78,-0.02,0.04,-0.04
0.48,-0.07,9.62,-0.01,0.07,-0.04
0.69,-0.05,7.94,-0.04,0.04,-0.04
0.71,-0.14,7.89,-0.08,-0.03,-0.05
0.53,-0.1,9.07,-0.1,-0.08,-0.04
0.18,-0.01,10.49,-0.07,-0.06,-0.04
0.18,-0.07,11.09,-0.03,0,-0.04
0.36,-0.03,10.2,0,0.06,-0.04
0.61,-0.11,8.91,-0.02,0.06,-0.04
0.74,-0.11,7.65,-0.06,0.01,-0.05
0.63,-0.15,8.37,-0.09,-0.06,-0.04
0.3,-0.06,9.9,-0.09,-0.09,-0.04
0.13,-0.05,10.93,-0.05,-0.03,-0.04
0.28,-0.02,10.83,-0.02,0.04,-0.04
0.48,-0.07,9.75,0,0.07,-0.04
0.7,-0.05,7.97,-0.04,0.04,-0.04
0.76,-0.1,7.77,-0.07,-0.02,-0.04
0.53,-0.14,9.01,-0.1,-0.08,-0.04
0.21,-0.03,10.33,-0.08,-0.07,-0.04
0.19,-0.09,11.14,-0.03,0,-0.04
0.34,0.02,10.34,-0.01,0.05,-0.04
0.61,-0.12,9.04,-0.02,0.07,-0.04
0.79,-0.06,7.64,-0.05,0.02,-0.04
0.65,-0.13,8.22,-0.09,-0.05,-0.04
0.44,-0.13,9.62,-0.1,-0.09,-0.04
0.13,-0.06,10.86,-0.06,-0.04,-0.04
0.26,-0.05,11.01,-0.02,0.02,-0.04
0.45,-0.07,9.86,0,0.07,-0.04
0.67,-0.08,8.34,-0.03,0.05,-0.04
0.76,-0.09,7.68,-0.07,-0.01,-0.04
0.58,-0.11,8.72,-0.1,-0.07,-0.04
0.25,-0.03,10.27,-0.08,-0.08,-0.04
0.14,-0.05,11.1,-0.04,-0.01,-0.04
0.31,-0.03,10.52,-0.01,0.05,-0.04
0.55,-0.08,9.39,-0.01,0.07,-0.04
0.71,-0.06,7.69,-0.05,0.03,-0.04
0.74,-0.11,8.02,-0.08,-0.04,-0.05
